name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"12.693933,79.975662",10/16/2024,27.1,24.5,25.8,31.2,24.5,26.7,24.6,93.2,12.993,100,20.83,rain,0,0,26.3,20.5,299.5,1006.3,81.9,3.9,178.6,15.5,7,30,2024-10-16T06:00:21,2024-10-16T17:50:45,0.46,Hot and Humid,Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOMM,43279099999,43278099999,43277099999"
"12.693933,79.975662",10/17/2024,33,24.6,28.7,45.8,24.6,34,25.6,83.8,0,0,0,rain,0,0,20.5,18.4,143.6,1006.5,50.4,5.5,222.4,19.2,9,60,2024-10-17T06:00:28,2024-10-17T17:50:13,0.5,Hot and Humid,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,43278099999,43277099999"
"12.693933,79.975662",10/18/2024,31.4,26,28.9,40.7,26,35.2,26,84.7,14.518,100,12.5,rain,0,0,18.7,13,118.2,1007.4,66.5,5.1,253.7,22,9,30,2024-10-18T06:00:37,2024-10-18T17:49:41,0.53,Hot and Humid,Partly cloudy throughout the day with rain clearing later.,rain,"VOMM,43279099999,43278099999,43277099999"
"12.693933,79.975662",10/19/2024,32,25.4,28.6,40.7,25.4,34.1,26,86.2,12.16,100,4.17,rain,0,0,21.2,18.4,91.1,1008.6,64.4,5.1,255.2,21.9,9,30,2024-10-19T06:00:45,2024-10-19T17:49:10,0.56,Hot and Humid,Partly cloudy throughout the day with early morning rain.,rain,"VOMM,43279099999,43278099999,43277099999"
"12.693933,79.975662",10/20/2024,32,26.5,29.2,44.1,26.5,36.4,26.4,85.1,11.875,100,4.17,rain,0,0,20.2,16.6,50.1,1009.6,67.3,5.3,247.3,21.4,9,30,2024-10-20T06:00:54,2024-10-20T17:48:40,0.59,Hot and Humid,Partly cloudy throughout the day with early morning rain.,rain,"VOMM,43279099999,43278099999,43277099999"
"12.693933,79.975662",10/21/2024,33,27,29.9,46,30.5,37.9,26.6,82.7,2.9,100,29.17,rain,0,0,18,16.6,126.1,1009.6,56.4,4.9,222,19,9,30,2024-10-21T06:01:04,2024-10-21T17:48:10,0.63,Hot and Humid,Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOMM,43279099999"
"12.693933,79.975662",10/22/2024,32,28,29.8,42.1,32.6,37.5,26.4,82.3,2.2,100,25,rain,0,0,19.4,16.6,75.9,1009.7,49,5.1,206.5,17.9,9,30,2024-10-22T06:01:15,2024-10-22T17:47:41,0.66,Hot and Humid,Partly cloudy throughout the day with rain in the morning and afternoon.,rain,VOMM
"12.693933,79.975662",10/23/2024,33,27,29.9,42.1,31,37,26.2,81,0,0,0,rain,0,0,23.4,13,56.9,1008.8,39.6,4.8,258.1,22.3,9,30,2024-10-23T06:01:26,2024-10-23T17:47:13,0.69,Hot and Humid,Partly cloudy throughout the day.,partly-cloudy-day,VOMM
"12.693933,79.975662",10/24/2024,33,26,28.9,43.7,26,34.2,24.9,79,4.8,100,33.33,rain,0,0,15.5,18.4,278.4,1008.4,79.2,8.4,141.7,12.1,7,10,2024-10-24T06:01:37,2024-10-24T17:46:46,0.75,Warm and Humid,Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOMM,remote"
"12.693933,79.975662",10/25/2024,33.2,24.6,28,34.5,24.6,28.9,20.5,65.6,0,93.5,0,rain,0,0,13.3,10.4,284.3,1009,77.8,24.1,244.5,20.9,9,10,2024-10-25T06:01:49,2024-10-25T17:46:20,0.76,Warm and Comfortable,Partly cloudy throughout the day with rain.,rain,"VOMM,remote"
"12.693933,79.975662",10/26/2024,33.5,23.8,28.2,33.9,23.8,28.6,18.5,57.5,0,41.9,0,rain,0,0,22.3,18.7,283.8,1008.5,38.9,24.1,279.1,23.9,9,10,2024-10-26T06:02:02,2024-10-26T17:45:54,0.79,Hot and Dry,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,remote"
"12.693933,79.975662",10/27/2024,33.7,23.6,28,35.1,23.6,28.9,18.8,58.6,0,9.7,0,rain,0,0,22.7,14.8,268.2,1007.5,61.3,24.1,252.9,21.8,9,10,2024-10-27T06:02:15,2024-10-27T17:45:30,0.83,Hot and Dry,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,remote"
"12.693933,79.975662",10/28/2024,34.2,24.7,28.6,35.4,24.7,30.2,21.1,65.4,0,25.8,0,rain,0,0,24.5,15.5,191.9,1006.6,65.2,24.1,253.5,21.9,9,10,2024-10-28T06:02:29,2024-10-28T17:45:06,0.86,Warm and Comfortable,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,remote"
"12.693933,79.975662",10/29/2024,33.7,24.6,28.4,35.9,24.6,29.9,21.2,66.6,0,54.8,0,rain,0,0,28.4,15.5,183.4,1008.3,25.1,23.9,294,25.4,9,10,2024-10-29T06:02:44,2024-10-29T17:44:43,0.89,Warm and Comfortable,Partly cloudy throughout the day with a chance of rain.,rain,"VOMM,remote"
"12.693933,79.975662",10/30/2024,32.4,24.9,28.1,35.6,24.9,30,22.1,70.8,0.6,61.3,12.5,rain,0,0,23.8,22,163.2,1009.3,37.1,23.7,231.3,19.8,8,30,2024-10-30T06:02:59,2024-10-30T17:44:22,0.92,Warm and Humid,Becoming cloudy in the afternoon with storms possible.,rain,"VOMM,remote"
"12.693933,79.975662",10/31/2024,32.4,25.5,28.3,36,25.5,30.8,22.8,72.9,0.4,48.4,12.5,rain,0,0,22,18.7,162.2,1010,58.4,23.9,200.9,17.4,8,30,2024-10-31T06:03:15,2024-10-31T17:44:01,0.96,Warm and Humid,Partly cloudy throughout the day with storms possible.,rain,"VOMM,remote"
"12.693933,79.975662",11/1/2024,31.8,25.1,27.8,35.4,25.1,29.8,22.7,74.7,2.5,61.3,20.83,rain,0,0,18.4,15.5,152.6,1010.3,23.3,23.7,218.8,19.2,7,30,2024-11-01T06:03:31,2024-11-01T17:43:41,0,Warm and Humid,Partly cloudy throughout the day with storms possible.,rain,"VOMM,remote"
"12.693933,79.975662",11/2/2024,31.9,25,27.8,35.8,25,29.7,22.6,74,3.1,64.5,20.83,rain,0,0,20.2,14.8,149.6,1010.8,10.7,23.6,243.6,21.3,7,30,2024-11-02T06:03:49,2024-11-02T17:43:22,0.03,Warm and Humid,Clear conditions throughout the day with storms possible.,rain,"VOMM,remote"
"12.693933,79.975662",11/3/2024,31.9,24.4,27.1,35.6,24.4,28.4,22.1,75.1,2.1,77.4,16.67,rain,0,0,19.1,19.4,107.5,1011.4,7.4,23.1,230.1,20.1,7,30,2024-11-03T06:04:06,2024-11-03T17:43:04,0.06,Warm and Humid,Clear conditions throughout the day with storms possible.,rain,"VOMM,remote"
"12.693933,79.975662",11/4/2024,31.1,23.6,26.8,33.6,23.6,27.8,21.2,72.3,0.1,51.6,4.17,rain,0,0,21.2,15.1,78.6,1011.6,14.7,24.1,214.6,18.6,7,10,2024-11-04T06:04:25,2024-11-04T17:42:48,0.1,Warm and Humid,Clear conditions throughout the day with afternoon rain.,rain,"VOMM,remote"
"12.693933,79.975662",11/5/2024,31.2,23.9,26.9,34,23.9,28,21.6,73.7,10.3,54.8,20.83,rain,0,0,25.9,20.9,54,1011.4,4.1,20.8,260.6,22.8,8,10,2024-11-05T06:04:44,2024-11-05T17:42:32,0.13,Warm and Humid,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"VOMM,remote"
"12.693933,79.975662",11/6/2024,31,23.6,26.7,34.3,23.6,28.1,22.1,76.5,3.6,80.6,16.67,rain,0,0,16.6,13,42.4,1011.5,28.1,23.1,192.5,16.7,7,30,2024-11-06T06:05:04,2024-11-06T17:42:17,0.16,Warm and Humid,Becoming cloudy in the afternoon with storms possible.,rain,"VOMM,remote"
"12.693933,79.975662",11/7/2024,31.1,23.7,27,34.2,23.7,28.1,22,75.5,5.1,74.2,29.17,rain,0,0,23,17.3,48.1,1012.3,15.7,23.2,232.5,20.3,7,10,2024-11-07T06:05:24,2024-11-07T17:42:04,0.2,Warm and Humid,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"VOMM,remote"
